75.0000000000 16.0000000000 7.0000000000 
73.2500000000 19.0310889132 6.0000000000 
73.2500000000 19.0310889132 8.0000000000 
75.0000000000 16.0000000000 6.0000000000 
#

75.0000000000 16.0000000000 7.0000000000 
71.5000770011 16.0000444566 6.0000000000 
71.5000770011 16.0000444566 8.0000000000 
75.0000000000 16.0000000000 6.0000000000 
#

75.0000000000 16.0000000000 7.0000000000 
73.2500770011 12.9689555434 6.0000000000 
73.2500770011 12.9689555434 8.0000000000 
75.0000000000 16.0000000000 6.0000000000 
#

75.0000000000 16.0000000000 7.0000000000 
76.7500000000 12.9689110868 6.0000000000 
76.7500000000 12.9689110868 8.0000000000 
75.0000000000 16.0000000000 6.0000000000 
#

75.0000000000 16.0000000000 7.0000000000 
78.4999229989 15.9999555434 6.0000000000 
78.4999229989 15.9999555434 8.0000000000 
75.0000000000 16.0000000000 6.0000000000 
#

75.0000000000 16.0000000000 7.0000000000 
76.7499229989 19.0310444566 6.0000000000 
76.7499229989 19.0310444566 8.0000000000 
75.0000000000 16.0000000000 6.0000000000 
#

75.0000000000 16.0000000000 7.0000000000 
73.2500000000 19.0310889132 6.0000000000 
73.2500000000 19.0310889132 8.0000000000 
75.0000000000 16.0000000000 6.0000000000 
#
